user_id,product_id,rating
1,29,3
1,8,5
1,21,2
1,19,3
1,11,5
1,36,3
1,22,5
1,2,4
1,30,2
2,21,1
2,12,2
2,22,5
2,44,1
2,49,3
2,42,4
3,16,3
3,44,4
3,3,5
3,7,5
3,9,2
3,4,1
4,14,2
4,9,2
4,2,4
4,28,4
4,7,4
4,8,3
5,17,4
5,50,4
5,2,2
5,4,5
5,18,2
5,44,2
5,10,4
5,14,4
6,40,5
6,16,5
6,18,5
7,25,4
7,45,1
7,29,5
7,1,1
8,9,1
8,44,3
8,17,3
8,35,1
8,5,2
8,39,2
8,41,4
8,7,1
8,8,4
9,33,5
9,35,4
9,40,3
9,35,1
10,37,3
10,1,5
10,26,3
10,9,2
10,42,4
11,32,1
11,32,4
11,30,5
11,23,5
11,15,3
11,29,4
11,13,3
12,22,4
12,2,2
12,45,1
12,6,4
12,28,4
13,20,3
13,28,1
13,39,1
13,1,1
13,27,1
13,13,1
14,39,3
14,9,5
14,33,3
14,42,4
14,24,3
15,32,1
15,49,1
15,12,2
15,3,1
15,37,1
15,17,3
15,49,2
15,2,4
16,23,5
16,32,1
16,1,3
16,2,5
16,44,2
16,32,4
16,11,3
16,17,5
17,34,3
17,48,1
17,9,4
17,6,5
17,3,4
17,36,3
18,3,3
18,20,4
18,41,1
18,40,2
19,11,4
19,25,2
19,23,2
20,7,4
20,16,2
20,48,1
20,49,2
20,1,4
